               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.045403,            0.021747,           0.0016589,                   1,             0.29472,             0.66258,             0.29118,            0.048703,            0.017536,           0.0017941,            0.005413,            0.005413,            0.005413
                 141,            0.045623,            0.018911,            0.001463,             0.85881,             0.26115,             0.45447,             0.23442,             0.05209,            0.016777,           0.0017822,             0.00538,             0.00538,             0.00538
                 142,            0.049116,            0.021971,           0.0015663,             0.85881,             0.26115,             0.45447,             0.23442,             0.05209,            0.016777,           0.0017822,            0.005347,            0.005347,            0.005347
                 143,            0.043654,            0.019933,            0.001247,             0.97914,                 0.2,             0.43953,             0.23126,             0.05167,            0.016685,           0.0017532,            0.005314,            0.005314,            0.005314
                 144,            0.047517,             0.02413,           0.0014479,             0.97914,                 0.2,             0.43953,             0.23126,             0.05167,            0.016685,           0.0017532,            0.005281,            0.005281,            0.005281
                 145,            0.049569,            0.027346,           0.0012339,              0.8689,                 0.3,             0.50595,             0.24597,            0.054229,            0.016453,           0.0017696,            0.005248,            0.005248,            0.005248
                 146,            0.049095,            0.020713,           0.0013286,              0.8689,                 0.3,             0.50595,             0.24597,            0.054229,            0.016453,           0.0017696,            0.005215,            0.005215,            0.005215
                 147,            0.053334,            0.021468,           0.0016319,             0.95987,                 0.3,             0.65701,             0.33842,             0.04906,            0.016609,            0.001635,            0.005182,            0.005182,            0.005182
                 148,            0.045298,            0.022087,           0.0018119,             0.95987,                 0.3,             0.65701,             0.33842,             0.04906,            0.016609,            0.001635,            0.005149,            0.005149,            0.005149
                 149,            0.047402,            0.029006,            0.001547,             0.92116,                 0.3,             0.72912,             0.26311,            0.048644,            0.016815,           0.0015591,            0.005116,            0.005116,            0.005116
                 150,            0.049252,            0.017861,           0.0014487,             0.92116,                 0.3,             0.72912,             0.26311,            0.048644,            0.016815,           0.0015591,            0.005083,            0.005083,            0.005083
                 151,            0.053221,            0.020116,           0.0015655,             0.96691,                 0.3,             0.59436,             0.35168,            0.046034,            0.016823,           0.0015011,             0.00505,             0.00505,             0.00505
                 152,            0.042938,            0.020687,           0.0013358,             0.96691,                 0.3,             0.59436,             0.35168,            0.046034,            0.016823,           0.0015011,            0.005017,            0.005017,            0.005017
                 153,            0.045491,            0.022588,           0.0013135,             0.95271,                 0.3,             0.59035,              0.3388,            0.043087,            0.017303,           0.0014469,            0.004984,            0.004984,            0.004984
                 154,            0.047411,            0.028814,           0.0015635,             0.95271,                 0.3,             0.59035,              0.3388,            0.043087,            0.017303,           0.0014469,            0.004951,            0.004951,            0.004951
